Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,BA,ITAMARAJU,PT,13,DILSON BATISTA SANTIAGO,"12,054",Eleito,46.476,(sem coligação),
Prefeito,BA,ITAMARAJU,PPB,11,IVAN SILVISTRELLI FAVARATO,"2,443",Não eleito,9.419,(sem coligação),
Prefeito,BA,ITAMARAJU,PSL,17,MANOEL PEDRO RODRIGUES SOARES,"9,872",Não eleito,38.063,(sem coligação),
Prefeito,BA,ITAMARAJU,PMDB,15,PEDRO LUIZ PEREIRA,619,Não eleito,2.387,(sem coligação),
Prefeito,BA,ITAMARAJU,PSDB,45,VIVALDO GOIS DE OLIVEIRA,948,Não eleito,3.655,(sem coligação),
Prefeito,BA,ITAMARI,PL,22,ANTONIO LEANDRO DE MATOS,"2,038",Eleito,50.659,(sem coligação),
Prefeito,BA,ITAMARI,PSD,41,ECY FREIRE DE CARVALHO,53,Não eleito,1.317,(sem coligação),
Prefeito,BA,ITAMARI,PSDB,45,EDMUNDO CINZA DE SOUZA,120,Não eleito,2.983,(sem coligação),
Prefeito,BA,ITAMARI,PTB,14,RENILDO DA SILVA SANTOS,"1,695",Não eleito,42.133,(sem coligação),
Prefeito,BA,ITAMARI,PPB,11,RONALDO DE SOUZA BOMFIM,117,Não eleito,2.908,(sem coligação),
Prefeito,BA,INHAMBUPE,PT,13,JOSE EDUARDO ROCHA REIS,652,Não eleito,5.067,(sem coligação),
Prefeito,BA,INHAMBUPE,PSL,17,PEDRO OLIVALDO DA ROCHA REIS,"5,488",Não eleito,42.652,(sem coligação),
Prefeito,BA,INHAMBUPE,PL,22,SIMONE SIMOES NERI PRINZ,"6,727",Eleito,52.281,(sem coligação),
Prefeito,BA,IPIAU,PGT,30,CHARLES JOSE PEREIRA DE LIMA,194,Não eleito,1.125,(sem coligação),
Prefeito,BA,IPIAU,PFL,25,JOSE MOTA FERNANDES,"8,939",Eleito,51.853,(sem coligação),
Prefeito,BA,IPIAU,PTB,14,MIGUEL CUNHA COUTINHO,"7,930",Não eleito,46,(sem coligação),
Prefeito,BA,IPIAU,PT,13,RITA DE CASSIA ARAUJO BARBOSA,176,Não eleito,1.021,(sem coligação),
Prefeito,BA,IPUPIARA,PT,13,ADAO BATISTA DE OLIVEIRA,98,Não eleito,2.237,(sem coligação),
Prefeito,BA,IPUPIARA,PFL,25,DAVID RIBEIRO PRIMO,"1,352",Não eleito,30.868,(sem coligação),
Prefeito,BA,IPUPIARA,PPB,11,JOSE LUCIANO NOVAIS,"2,902",Eleito,66.256,(sem coligação),
Prefeito,BA,IPUPIARA,PL,22,JOSE PEREIRA DA SILVA,28,Não eleito,0.639,(sem coligação),
Prefeito,BA,IRARA,PTB,14,AMARO BISPO DOS SANTOS,"3,838",Não eleito,32.681,(sem coligação),
Prefeito,BA,IRARA,PFL,25,ANTONIO CAMPOS DE CERQUEIRA,"5,761",Eleito,49.055,(sem coligação),
Prefeito,BA,IRARA,PSDB,45,VITAL BACELAR DA SILVA,"2,145",Não eleito,18.265,(sem coligação),
Prefeito,BA,ITABUNA,PC do B,65,DAVIDSON DE MAGALHAES SANTOS,"10,476",Não eleito,13.299,(sem coligação),
Prefeito,BA,ITABUNA,PTB,14,FERNANDO GOMES OLIVEIRA,"34,352",Eleito,43.608,(sem coligação),
Prefeito,BA,ITABUNA,PST,18,JOSE CARLOS GUILHERME SANTOS,825,Não eleito,1.047,(sem coligação),
