,ano,id_municipio,incumbant,term_limited_seat,special,overall_winner_complete_college,overall_winner_idade,overall_winner_feminino,overall_winner_agriculture_job,overall_winner_public_service_job,overall_winner_health_job,overall_winner_corporate_job,overall_winner_law_job,overall_winner_technical_job,overall_winner_professional_job,overall_winner_mining_job,overall_winner_partido_PT,overall_winner_partido_PMDB_MDB,overall_winner_partido_PSDB,overall_winner_partido_DEM,overall_winner_partido_PL,overall_winner_partido_other,runnerup_partido_PT,runnerup_partido_PMDB_MDB,runnerup_partido_PSDB,runnerup_partido_DEM,runnerup_partido_PL,runnerup_partido_other,winner_votes,winner_votes_proportion,runnerup_votes,runnerup_votes_proportion,totalvotes
69,2004,2928703,1.0,0,0.0,1.0,43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21116.0,0.5034451517535703,17876.0,41943.0,41943.0
70,2004,2928901,0.0,0,0.0,0.0,42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11077.0,0.8657288003126221,1718.0,12795.0,12795.0
71,2004,2930774,1.0,0,0.0,0.0,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6595.0,0.515395436073773,6201.0,12796.0,12796.0
72,2004,2930907,1.0,0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3988.0,0.5292634372926344,3547.0,7535.0,7535.0
73,2004,2931608,1.0,0,0.0,1.0,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3717.0,0.5129018904374224,3529.0,7247.0,7247.0
74,2004,2933000,0.0,0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5969.0,0.43886478935372397,5874.0,13601.0,13601.0
75,2004,2933406,0.0,0,0.0,1.0,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3106.0,0.6797986430291092,1463.0,4569.0,4569.0
76,2004,2300101,0.0,0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3290.0,0.6926315789473684,1460.0,4750.0,4750.0
77,2004,2300200,0.0,0,0.0,1.0,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13706.0,0.5492066036223754,11222.0,24956.0,24956.0
78,2004,2300408,0.0,0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5463.0,0.7017341040462428,2322.0,7785.0,7785.0
79,2004,2301257,1.0,0,0.0,0.0,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3736.0,0.6257956448911223,2234.0,5970.0,5970.0
80,2004,2302107,1.0,0,0.0,1.0,59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9624.0,0.5205257179944832,8554.0,18489.0,18489.0
81,2004,2302909,1.0,0,0.0,0.0,51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5179.0,0.5209737450960668,4751.0,9941.0,9941.0
82,2004,2303600,0.0,0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4323.0,0.7506511547143602,1436.0,5759.0,5759.0
83,2004,2304103,1.0,0,0.0,1.0,52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20489.0,0.5278901399015794,18324.0,38813.0,38813.0
